X,Y,id,left,top,right,bottom,row_index,col_index,fid,VILLCODE,COUNTYNAME,TOWNNAME,VILLNAME,VILLENG,COUNTYID,COUNTYCODE,TOWNID,TOWNCODE,NOTE
120.314915428559,23.3858388832562,163324,179286.105876496,2587921.02934436,180440.806414875,2586921.02934436,343,290,451,"67000050018",臺南市,後壁區,菁寮里,Jingliao Vil.,D,"67000",D13,"67000050",
120.407549060024,23.2755597816702,169518,188812.385318124,2575421.02934436,189967.085856504,2574421.02934436,355,301,452,"67000060008",臺南市,東山區,南溪里,Nanxi Vil.,D,"67000",D14,"67000060",
120.407588989252,23.266529840116,169519,188812.385318124,2574421.02934436,189967.085856504,2573421.02934436,356,301,452,"67000060008",臺南市,東山區,南溪里,Nanxi Vil.,D,"67000",D14,"67000060",
120.390619405562,23.275494960444,168394,187080.334510556,2575421.02934436,188235.035048935,2574421.02934436,355,299,452,"67000060008",臺南市,東山區,南溪里,Nanxi Vil.,D,"67000",D14,"67000060",
120.399063967742,23.2800425592009,168956,187946.35991434,2575921.02934436,189101.060452719,2574921.02934436,355,300,452,"67000060008",臺南市,東山區,南溪里,Nanxi Vil.,D,"67000",D14,"67000060",
120.39910447754,23.2710126367948,168957,187946.35991434,2574921.02934436,189101.060452719,2573921.02934436,356,300,452,"67000060008",臺南市,東山區,南溪里,Nanxi Vil.,D,"67000",D14,"67000060",
120.128248099146,23.2697420669597,150973,160233.546993238,2574921.02934436,161388.247531617,2573921.02934436,356,268,453,"67000170005",臺南市,北門區,北門里,Beimen Vil.,D,"67000",D24,"67000170",
120.12830683471,23.260712683843,150974,160233.546993238,2573921.02934436,161388.247531617,2572921.02934436,357,268,453,"67000170005",臺南市,北門區,北門里,Beimen Vil.,D,"67000",D24,"67000170",
120.136682961523,23.2743035428784,151534,161099.572397022,2575421.02934436,162254.272935402,2574421.02934436,355,269,453,"67000170005",臺南市,北門區,北門里,Beimen Vil.,D,"67000",D24,"67000170",
120.136741141568,23.2652741447817,151535,161099.572397022,2574421.02934436,162254.272935402,2573421.02934436,356,269,453,"67000170005",臺南市,北門區,北門里,Beimen Vil.,D,"67000",D24,"67000170",
120.09673711002,23.2784357178119,148724,156769.4453781,2575921.02934436,157924.145916479,2574921.02934436,355,264,453,"67000170005",臺南市,北門區,北門里,Beimen Vil.,D,"67000",D24,"67000170",
120.09632555381,23.2693579707711,148725,156769.4453781,2574921.02934436,157924.145916479,2573921.02934436,356,264,453,"67000170005",臺南市,北門區,北門里,Beimen Vil.,D,"67000",D24,"67000170",
120.102826130109,23.2741136514857,149286,157635.470781885,2575421.02934436,158790.171320264,2574421.02934436,355,265,453,"67000170005",臺南市,北門區,北門里,Beimen Vil.,D,"67000",D24,"67000170",
120.111320253527,23.2696471417961,149849,158501.496185669,2574921.02934436,159656.196724048,2573921.02934436,356,266,453,"67000170005",臺南市,北門區,北門里,Beimen Vil.,D,"67000",D24,"67000170",
120.095495846209,23.2602912895436,148726,156769.4453781,2573921.02934436,157924.145916479,2572921.02934436,357,264,453,"67000170005",臺南市,北門區,北門里,Beimen Vil.,D,"67000",D24,"67000170",
120.111380129267,23.2606177997504,149850,158501.496185669,2573921.02934436,159656.196724048,2572921.02934436,357,266,453,"67000170005",臺南市,北門區,北門里,Beimen Vil.,D,"67000",D24,"67000170",
120.119873112522,23.2561507845426,150412,159367.521589454,2573421.02934436,160522.222127833,2572421.02934436,357,267,453,"67000170005",臺南市,北門區,北門里,Beimen Vil.,D,"67000",D24,"67000170",
120.102886591079,23.2650843355365,149287,157635.470781885,2574421.02934436,158790.171320264,2573421.02934436,356,265,453,"67000170005",臺南市,北門區,北門里,Beimen Vil.,D,"67000",D24,"67000170",
120.290469858769,23.0041712848056,161680,176688.029665142,2545421.02934436,177842.730203522,2544421.02934436,385,287,454,"67000280016",臺南市,歸仁區,西埔里,Xipu Vil.,D,"67000",D33,"67000280",
120.290517056129,22.9951412432525,161681,176688.029665142,2544421.02934436,177842.730203522,2543421.02934436,386,287,454,"67000280016",臺南市,歸仁區,西埔里,Xipu Vil.,D,"67000",D33,"67000280",
120.281998354493,23.0086482200725,161118,175822.004261358,2545921.02934436,176976.704799737,2544921.02934436,385,286,454,"67000280016",臺南市,歸仁區,西埔里,Xipu Vil.,D,"67000",D33,"67000280",
